Country,Continent,RegionUN,SubregionUN,year_U5Anthro,stuntingRATE,wastingRATE,severewastingRATE,overweightRATE,stuntingNUMBER,wastingNUMBER,overweightNUMBER,year_LBW,LBWrate,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolescentAnthro,overweight_adolescent,obesity_adolescent,year_WRA_thin_short,BMIbelow18_WRA_thin,Heightbelow145_WRA_short,year_adult_OWOB,OWbothsex,OWmale,OWfemale,OBbothsex,OBmale,OBfemale,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitaminAdef,rate_vitaminAdef,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,year_stunt_waste_OW,WHAtarget_Stunting1,WHAtarget_Wasting1,WHAtarget_Overweight1,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
Nigeria,Africa,Africa,Western Africa,2013,36.4,18.1,9.1,4.9,10806.2,5373.4,1454.7,2011,15,2003,43,2007,42.8,2008,41,2011,36,2013,36.4,.,,,2008,12.3,2.6,2008,28.8,26.2,31.2,7.1,5.1,9,2011,48.5,18095.4,2001,29.5,1998,Optimal iodine nutrition,2008,10.1,7.9,12,2008,48.6,47.3,49.7,2008,16.8,14,19.4,2013,Currently off course,Currently off course,Currently on course,2011,Currently off course
Norway,Europe,Europe,Northern Europe,,,,,,,,,2000,5,,,,,,,,,,,.,,,.,,,2008,55,62.3,47.6,19.8,21.6,17.9,2011,17.3,197.1,.,,,.,2008,9.1,10.6,7.7,2008,40.9,46.3,35.2,2008,61.9,64.2,59.3,,,,,2011,Currently off course
Oman,Asia,Asia,Western Asia,2009,9.8,7.1,0.8,1.7,32,23.2,5.6,2011,10,1991,24.2,1994,21.1,1999,12.9,2009,9.8,,,.,,,.,,,2008,57.5,57.2,57.2,22,19.4,25.9,2011,35.1,238.8,2004,5.5,1993-4,Mild iodine deficiency,2008,12.2,12,12.3,2008,41.4,43.2,38.6,2008,49.6,48.4,50.7,2009,Currently off course,Currently off course,Currently off course,2011,Currently off course
Pakistan,Asia,Asia,Southern Asia,2012,45,10.5,3.3,4.8,9661.2,2254.3,1030.5,2006-2007,32,1992,42.7,1995,,2001,41.5,2011,43,2012,45,2009,6.5,1,2012-13,16.6,4.8,2008,24.3,20,28.8,5.9,3.5,8.4,2011,51.1,23300.3,2001,12.5,1993-4,Severe iodine deficiency,2008,12.9,11.7,14.1,2008,39.5,40.1,38.8,2008,31,30.5,31.4,2012,Currently off course,Currently off course,Currently off course,2011,Currently off course
Palau,Oceania,Oceania,Micronesia,,,,,,,,,1998,9,,,,,,,,,,,.,,,.,,,2008,81.8,81.9,81.7,50.7,44.9,56.3,2011,,,.,8.9,,.,2008,18.2,17.5,19,2008,40.1,44.4,36,2008,54.7,54.7,54.8,,,,,2011,
Panama,Americas,Latin America and the Caribbean,Central America,2008,19.1,1.2,0.3,,70.5,4.4,,2003,10,1997,21.5,2003,22.2,2008,19.1,,,,,.,,,.,,,2008,61.2,58.2,64.1,25.8,19.4,32.1,2011,24.8,230.4,1999,9.4,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,11.1,10.9,11.2,2008,38.7,43.3,34.1,2008,42.8,40.1,45.3,2008,Currently off course,Currently on course,,2011,Currently off course
Papua New Guinea,Oceania,Oceania,Melanesia,2009,49.5,14.1,6.5,13.8,483.8,137.8,134.9,2005,11,1983,46,2005,43.9,2009,49.5,,,,,.,,,.,,,2008,47.8,45.4,50.3,15.9,11.8,20.1,2011,29.8,515.8,1998,11.1,1996,Optimal iodine nutrition,2008,15,15.2,14.7,2008,32.1,34.4,29.8,2008,38.2,36.5,39.8,2009,Currently off course,Currently off course,Currently off course,2011,Currently off course
Paraguay,Americas,Latin America and the Caribbean,South America,2005,17.5,1.1,,7.1,132.1,8.3,53.6,2009,6,1990,18.3,2005,17.5,,,,,,,.,,,.,,,2008,50,50.9,50.2,19.2,16.2,22.3,2011,19.3,326,.,14.1,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,10.3,10.6,10.1,2008,39.9,44.4,35.4,2008,38.3,36.4,40.1,2005,,Currently on course,Currently off course,2011,Currently off course
Peru,Americas,Latin America and the Caribbean,South America,2012,18.4,0.6,0.1,7.2,538.5,17.6,210.7,2007,8,2008,28.2,2009,23.9,2010,23.3,2011,19.6,2012,18.4,2010,20.2,2.9,2012,0.9,10.3,2008,47.9,43.3,52.2,16.5,11.1,21.7,2011,18.5,1442.4,.,14.9,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,6,5.8,6.1,2008,34.3,38.1,30.6,2008,38.6,37.5,39.4,2012,Currently on course,Currently on course,Currently off course,2011,Currently off course
Philippines,Asia,Asia,South-Eastern Asia,2013,30.3,7.9,,5,3426,893.3,565.3,2008,21,1998,38.3,2003,33.8,2008,32.3,2011,33.6,2013,30.3,2011,10.2,2.8,.,,,2008,26.9,24.5,29.1,6.4,4.5,8.3,2011,25.4,6198.7,2003,40.1,1998,Mild iodine deficiency,2008,6.6,6.5,6.6,2008,37.2,40,34.4,2008,43.3,39.3,46.7,2013,Currently off course,Currently off course,Currently off course,2011,Currently off course
Poland,Europe,Europe,Eastern Europe,,,,,,,,,2001,6,,,,,,,,,,,.,,,.,,,2008,55.7,61.6,49.6,23.2,22.9,22.9,2011,23.3,2200.3,.,9.3,1999,Mild iodine deficiency,2008,7.6,8.2,6.9,2008,46,49.3,42.4,2008,57.1,59.9,53.8,,,,,2011,Currently off course
Portugal,Europe,Europe,Southern Europe,,,,,,,,,2001,8,,,,,,,,,,,.,,,.,,,2008,55.3,59.7,50.8,21.6,20.4,22.3,2011,18.9,479.6,.,,,.,2008,6.6,7.5,5.7,2008,41.9,46.5,37.4,2008,55.9,57.2,54.3,,,,,2011,Currently off course
Qatar,Asia,Asia,Western Asia,,,,,,,,,1999,10,1995,11.6,,,,,,,,,.,,,.,,,2008,72.1,72.5,71.3,33.1,30.8,39.3,2011,27.9,80.4,.,,1996,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,12,12.4,11,2008,42.7,44.4,38.1,2008,57,56.8,57.5,,,,,2011,Currently off course
Republic of Korea,Asia,Asia,Eastern Asia,2010,2.5,0.9,0.1,6.7,57.2,10.6,153.2,2000,4,2010,2.5,,,,,,,,,.,,,.,,,2008,30.6,33.4,27.4,7.3,6.9,7.7,2011,19.4,2446,.,,,.,2008,6.1,6.8,5.3,2008,29.8,33.5,25.8,2008,42.5,41.7,42.7,2010,,Currently on course,,2011,Currently off course
Republic of Moldova,Europe,Europe,Eastern Europe,2005,11.3,5.8,2.3,9.1,24.2,12.4,19.5,2005,6,2005,11.3,,,,,,,,,.,,,2005,5.9,0.2,2008,49.2,38.7,57.7,20.4,10,28.8,2011,26,245.2,.,25.6,1996,Mild iodine deficiency,2008,10.4,9.5,11.1,2008,45.9,48.4,43.3,2008,36.5,35.2,36.9,2005,,Currently off course,Currently off course,2011,Currently off course
Romania,Europe,Europe,Eastern Europe,,,,,,,,,2004,8,1991,11.2,1999,15.3,2000,12.8,2001,14,2002,12.8,.,,,.,,,2008,48.6,51.7,45.4,17.7,16.3,19,2011,24.3,1301.8,.,16.3,2000-01,Mild iodine deficiency,2008,9.4,10,8.9,2008,44.5,47.1,41.7,2008,45.8,46,45.2,,,,,2011,Currently off course
Russian Federation,Europe,Europe,Eastern Europe,,,,,,,,,2007,6,,,,,,,,,,,.,,,.,,,2008,57.8,55.8,58.9,24.9,18.4,29.8,2011,21.4,7956.7,.,14.1,1999-02,Mild iodine deficiency,2008,10.6,10.5,10.7,2008,43.8,46.2,41.3,2008,50.6,47.3,52.1,,,,,2011,Currently off course
Rwanda,Africa,Africa,Eastern Africa,2010,44.3,3,1,7.1,824.6,55.8,132.2,2010,7,1992,56.8,1996,45.4,2000,48.3,2005,51.7,2010,44.3,.,,,2010,5.3,2.1,2008,20.3,24,17.5,4.3,4.9,4,2011,17.4,466.5,1996,6.4,1996,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,6.4,6.7,6.1,2008,49.4,50.6,48.2,2008,23,20.7,24.6,2010,Currently off course,Currently on course,Currently off course,2011,Currently off course
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2005-2008,8,,,,,,,,,,,2011,32.5,14.4,.,,,2008,76.2,72.7,79.5,40.9,32,49.4,2011,,,.,7.1,,.,2008,14.1,13.6,14.6,2008,46.3,50.4,42.3,2008,41.8,39.3,44.1,,,,,2011,
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean,2012,2.5,3.7,0.7,6.3,0,1,1,2005-2008,11,2012,2.5,,,,,,,,,.,,,.,,,2008,54.2,44.1,63.6,22.3,11.9,31.9,2011,26.4,13.4,.,11.3,,.,2008,11.1,10.3,11.8,2008,41.8,46.1,37.6,2008,37.7,34.7,40.4,2012,,Currently on course,,2011,Currently off course
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2005-2008,8,,,,,,,,,,,.,,,.,,,2008,57.8,51.8,63.7,25.1,16.4,33.5,2011,25.3,7.4,1997,2.1,,.,2008,11.8,11.1,12.5,2008,41.4,44.9,37.8,2008,36.3,33,39.2,,,,,2011,Currently off course
Samoa,Oceania,Oceania,Polynesia,,,,,,,,,2009,10,1999,6.4,,,,,,,,,2011,51.7,19.2,.,,,2008,85.6,82.6,88.9,55.5,45.3,66.7,2011,17.7,7.5,.,16.1,,.,2008,22.4,21.2,23.7,2008,42.7,46.5,38.5,2008,34.6,31.4,37.8,,,,,2011,Currently off course
San Marino,Europe,Europe,Southern Europe,,,,,,,,,.,,,,,,,,,,,,.,,,.,,,2008,,,,,,,2011,,,.,,,.,2008,,,,2008,,,,2008,,,,,,,,2011,
Sao Tome and Principe,Africa,Africa,Middle Africa,2008,31.6,11.2,4.9,11.6,9.6,3.4,3.5,2008-2009,10,1986,32,2000,35.2,2006,28.9,2008,31.6,,,.,,,2008-09,5.1,1.2,2008,36.9,30.9,42.1,11.3,6.4,15.4,2011,42.7,18,1999,95.6,,.,2008,9.9,9.3,10.3,2008,51.3,52.6,49.9,2008,18.1,15.9,19.7,2008,Currently off course,Currently off course,Currently off course,2011,Currently off course
Saudi Arabia,Asia,Asia,Western Asia,2005,9.3,11.8,4.5,6.1,277.7,352.3,182.1,1996,11,1994,21.4,2005,9.3,,,,,,,.,,,.,,,2008,71.3,70.2,73.2,35.2,29.5,43.5,2011,40.3,2832.1,.,3.6,1994-5,Optimal iodine nutrition,2008,21.8,22,21.7,2008,41.4,43.1,38.9,2008,39,36.4,42.1,2005,,Currently off course,,2011,Currently off course
Senegal,Africa,Africa,Western Africa,2013,19.2,8.9,1.9,1.5,444.9,206.2,34.8,2010-2011,19,2000,29.5,2005,20.1,2011,28.7,2012,15.5,2013,19.2,.,,,2010-11,18.6,0.2,2008,27.7,18,37,8,3.2,12.5,2011,57.5,1795.3,.,37,1996-7,Moderate iodine deficiency,2008,10,9.3,10.6,2008,45.1,46.7,43.6,2008,21.4,19.9,22.9,2013,Currently off course,Currently off course,Currently on course,2011,Currently off course
Serbia,Europe,Europe,Southern Europe,2010,6.6,3.5,0.8,15.6,31.9,16.9,75.5,2011,6,2005,8.1,2010,6.6,,,,,,,.,,,.,,,2008,55.9,65.3,46.2,23,25.5,20.3,2011,24.9,590.3,.,17.2,,.,2008,9.2,10.3,8.2,2008,46.6,50.1,43,2008,49.8,47.4,52,2010,Currently on course,Currently on course,Currently off course,2011,Currently off course
Seychelles,Africa,Africa,Eastern Africa,,,,,,,,,.,,1988,7.7,,,,,,,,,2007,24.5,10.6,.,,,2008,57.7,50.9,64.1,24.6,15.1,33.7,2011,21.2,4.9,.,8,,.,2008,13.5,13.7,13.2,2008,46.1,50.3,41.5,2008,57.7,59.1,55.3,,,,,2011,Currently off course
Sierra Leone,Africa,Africa,Western Africa,2010,44.9,9.2,4.2,10.3,417.2,85.5,95.7,2010,11,1990,40.9,2000,38.4,2005,46.9,2008,37.4,2010,44.9,.,,,2008,10.8,13.3,2008,27.5,21.2,33.4,7,3.6,10.1,2011,45.2,671.1,.,74.8,,.,2008,9.6,9.2,10,2008,49.1,49.4,48.7,2008,16.2,14.3,17.6,2010,Currently off course,Currently off course,Currently off course,2011,Currently off course
Singapore,Asia,Asia,South-Eastern Asia,,,,,,,,,2000,8,2000,4.4,,,,,,,,,.,,,.,,,2008,28.1,32.3,23.7,6.4,6.6,6.2,2011,22,297.1,.,,,.,2008,6.4,7.5,5.4,2008,34.6,38.2,30.9,2008,57.5,56.3,58.5,,,,,2011,Currently off course
Slovakia,Europe,Europe,Eastern Europe,,,,,,,,,2001,7,,,,,,,,,,,.,,,.,,,2008,58.4,63.9,53.2,24.6,24.9,24.3,2011,23.3,331.3,.,8.3,2002,Optimal iodine nutrition,2008,9.9,10.6,9.2,2008,45.8,49.6,42,2008,52.5,52.7,51.7,,,,,2011,Currently off course
Slovenia,Europe,Europe,Southern Europe,,,,,,,,,.,,,,,,,,,,,,.,,,.,,,2008,61.3,67.6,55.2,27,28.1,25.9,2011,23.6,112.6,.,,,.,2008,9.7,10.7,8.8,2008,46.4,50.4,42.3,2008,56.3,56.8,55.3,,,,,2011,Currently off course
Solomon Islands,Oceania,Oceania,Melanesia,2007,32.8,4.3,1.4,2.5,26.6,3.5,2,2007,13,1989,33.7,2007,32.8,,,,,,,2011,20,2.2,.,,,2008,67.9,64.9,71.1,32.1,25.3,39.2,2011,25.3,33.6,.,13.1,,.,2008,17.7,17.1,18.3,2008,37.4,38.5,36.2,2008,33.2,30.1,36.5,2007,,Currently on course,,2011,Currently off course
Somalia,Africa,Africa,Eastern Africa,2006,42.1,13.2,4.4,4.7,802.7,251.7,89.6,.,,2000,29.2,2006,42.1,,,,,,,.,,,.,,,2008,21.5,18.9,24,5.3,3.4,7.1,2011,42.6,934.3,.,61.7,,.,2008,7.8,7.9,7.7,2008,46.4,48.1,44.6,2008,24.7,23.6,25.5,2006,Currently off course,Currently off course,,2011,Currently off course
South Africa,Africa,Africa,Southern Africa,2008,23.9,4.7,,,1308.8,257.4,,1998,,1994,31.5,1995,28.7,1999,30.1,2004,32.8,2008,23.9,.,,,.,,,2008,68,62,73.6,33.5,23.2,42.8,2011,27.6,3724.7,.,16.9,1998,Optimal iodine nutrition,2008,11.7,11.9,11.7,2008,46.4,48.3,44.4,2008,35.5,31.6,38,2008,Currently off course,Currently on course,Currently off course,2011,Currently off course
South Sudan,Africa,Africa,Eastern Africa,2010,31.1,22.7,9.9,6,534,390,103,.,,2006,36.2,2010,31.1,,,,,,,.,,,.,,,2008,,,,,,,2011,,,.,,,.,2008,,,,2008,,,,2008,,,,2010,Currently off course,Currently off course,Currently on course,2011,
Spain,Europe,Europe,Southern Europe,,,,,,,,,1997,6,,,,,,,,,,,.,,,.,,,2008,58.2,65.1,50.9,24.1,24.9,23,2011,18.1,2049.4,.,,1995-02,Optimal iodine nutrition,2008,9.9,11,8.8,2008,36.7,41.5,31.7,2008,56.1,58.9,52.9,,,,,2011,Currently off course
Sri Lanka,Asia,Asia,Southern Asia,2012,14.7,21.4,3,0.6,276.2,402,11,2006-2007,17,1995,26.1,2000,18.4,2007,17.3,2009,19.2,2012,14.7,2008,4.5,0.5,.,,,2008,21.7,16.5,26.5,5,2.6,7.3,2011,25.7,1401.2,1996,35.3,2000-01,Optimal iodine nutrition,2008,8.9,9.3,8.6,2008,39.4,41.9,37,2008,35.8,32.9,38.3,2012,Currently off course,Currently off course,Currently on course,2011,Currently off course
Sudan,Africa,Africa,Northern Africa,2010,35,16.4,5.3,4.2,1989.5,915.6,225,.,,2006,38.3,2010,35,,,,,,,2012,11.4,3.6,.,,,2008,25,21.6,28.2,6.6,4.1,8.9,2011,31.5,3399.1,.,27.8,1997,Mild iodine deficiency,2008,8.3,8.6,8.1,2008,45.5,48.1,41.8,2008,32.9,33.1,32.6,2010,Currently off course,Currently off course,,2011,Currently off course
Suriname,Americas,Latin America and the Caribbean,South America,2010,8.8,5,0.8,4,4.1,2.3,1.9,2010,14,2000,14.5,2006,10.7,2010,8.8,,,,,2009,19.3,6.6,.,,,2008,58.4,51.7,64.8,25.8,16.5,34.6,2011,24.9,34.5,.,18,,.,2008,12.6,11.6,13.5,2008,40.6,44.1,37.1,2008,35.6,32.1,38.6,2010,Currently on course,Currently off course,Currently off course,2011,Currently off course
Swaziland,Africa,Africa,Southern Africa,2010,31,0.8,0.4,10.7,52,1.3,18,2010,9,2000,36.6,2006,29.5,2008,40.4,2010,31,,,2013,16.6,4,2006-07,1.8,0.9,2008,50.3,28.8,68.2,23.4,6.1,37.1,2011,27.8,87.2,.,44.6,1998,Optimal iodine nutrition,2008,10.8,9,12.2,2008,46.8,48.5,45.1,2008,31.2,29.2,32.7,2010,Currently off course,Currently on course,Currently off course,2011,Currently off course
Sweden,Europe,Europe,Northern Europe,,,,,,,,,1999,4,,,,,,,,,,,.,,,.,,,2008,50,57.3,42.5,16.6,18.2,15,2011,17.8,378,.,,,.,2008,7,8.1,6,2008,37.9,43.1,32.5,2008,51.8,56.1,47,,,,,2011,Currently off course
Switzerland,Europe,Europe,Western Europe,,,,,,,,,1999,6,,,,,,,,,,,.,,,.,,,2008,44.3,55,34.1,14.9,18.3,11.6,2011,19.1,354.6,.,,1999,Optimal iodine nutrition,2008,7.2,9.3,5.3,2008,34.8,41.6,28.2,2008,59.2,61.1,56.9,,,,,2011,Currently off course
Syria,Asia,Asia,Western Asia,2009,27.5,11.5,5.5,17.9,721.8,301.8,469.8,2009,10,1995,26.5,2000,24.3,2001,31.1,2006,28.6,2009,27.5,2010,21.7,5.8,.,,,2008,66.4,63.4,69.3,31.6,23.8,39,2011,30.9,1617.7,.,12.1,,.,2008,12.8,12.9,12.8,2008,41,42.4,39.5,2008,40.5,38.3,42.4,2009,Currently off course,Currently off course,Currently off course,2011,Currently off course
Tajikistan,Asia,Asia,Central Asia,2012,26.8,9.9,3.9,6.6,303.1,112,75,2005,10,2003,42.4,2005,33.1,2007,39.2,2009,28.8,2012,26.8,.,,,2012,9.2,0.7,2008,33.8,33.7,33.9,9.9,8,11.6,2011,24.6,460.7,2002,26.8,,.,2008,10.2,10.7,9.7,2008,44.8,46.4,43.3,2008,24,22.5,25.3,2012,Currently off course,Currently off course,Currently on course,2011,Currently off course
Thailand,Asia,Asia,South-Eastern Asia,2012,16.3,6.7,2.2,10.9,608,249.9,406.6,2009,7,1987,24.6,1993,21.1,1995,18.1,2006,15.7,2012,16.3,2008,16.4,5.5,.,,,2008,31.4,25.8,36.4,8.5,4.9,11.8,2011,23.8,4501,.,15.7,2000,Optimal iodine nutrition,2008,7.2,7.3,7.1,2008,34.2,37,31.6,2008,55.5,54.6,56.1,2012,Currently off course,Currently off course,Currently off course,2011,Currently off course
The former Yugoslav Republic of Macedonia,Europe,Europe,Southern Europe,2011,4.9,1.8,0.2,12.4,5.5,2,14,2011,6,1999,8,2005,11.5,2011,4.9,,,,,2007,21,3.3,.,,,2008,52.8,59.6,46,20.3,21.6,18.9,2011,19.3,101.7,1999,29.7,2002,Optimal iodine nutrition,2008,9.6,10.4,8.8,2008,45.4,48,42.6,2008,43.2,42.4,43.7,2011,Currently on course,Currently on course,Currently off course,2011,Currently off course
Timor-Leste,Asia,Asia,South-Eastern Asia,2009,57.7,18.9,7.6,5.8,106.6,34.9,10.7,2003,12,2002,55.7,2003,54.8,2007,53.9,2009,57.7,,,.,,,2009-10,25.6,12.7,2008,13.4,10.2,16.5,2.9,1.5,4.3,2011,22.5,55.6,.,45.8,,.,2008,6.6,6.4,6.9,2008,37.5,39.7,35.2,2008,26.7,24.1,29.1,2009,Currently off course,Currently off course,Currently off course,2011,Currently off course
Togo,Africa,Africa,Western Africa,2010,29.8,4.8,1,1.6,318.7,51.3,17.1,2010,11,1996,40.2,1998,33.2,2006,27.8,2008,26.9,2010,29.8,.,,,1998,10.9,0.9,2008,20.5,17.4,23.3,4.6,3,6.1,2011,52.7,819.5,.,35,1999,Optimal iodine nutrition,2008,8.9,8.7,9.1,2008,45.9,47.3,44.3,2008,17.1,15.2,18.7,2010,Currently off course,Currently on course,Currently on course,2011,Currently off course
Tonga,Oceania,Oceania,Polynesia,,,,,,,,,2002,3,1986,2.2,,,,,,,,,2010,59.6,21.9,.,,,2008,88.1,85.8,90.6,59.6,49.1,70.3,2011,18.6,4.7,.,17,,.,2008,18.2,17,19.3,2008,41.1,44.3,37.7,2008,49.7,53.4,45.4,,,,,2011,Currently off course
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2005-2008,10,1987,6.3,2000,5.3,,,,,,,2011,26.2,11.9,.,,,2008,64.7,59.7,69.6,30,21.6,38,2011,25.3,98.5,.,7.2,,.,2008,12.6,12.1,13,2008,40.9,44.4,37.6,2008,39.1,36.5,41.1,,,,,2011,Currently off course
Tunisia,Africa,Africa,Northern Africa,2012,10,2.8,1.7,14.3,91.2,25.5,130.5,2011-2012,7,1988,18.5,1997,11.9,2000,16.8,2006,9,2012,10.1,.,,,.,,,2008,55.9,47.5,64.2,23.8,13.9,33.4,2011,28,844,.,14.6,1996-7,Optimal iodine nutrition,2008,12.4,12,12.7,2008,42,42.6,41.2,2008,40.7,37.3,43.8,2012,Currently on course,Currently on course,Currently off course,2011,Currently off course
Turkey,Asia,Asia,Western Asia,2008,12.3,0.8,0.2,,780.8,50.8,,2008,11,1993,24.1,1995,,1998,19.1,2004,15.6,2008,12.3,.,,,1998,2.6,2.1,2008,63.6,61.4,65.8,29.3,22.8,35.6,2011,28.8,5850.1,.,12.4,1997-9,Moderate iodine deficiency,2008,10,10.1,9.8,2008,36.1,36.2,35.8,2008,39.7,38.1,41,2008,Currently on course,Currently on course,,2011,Currently off course
Turkmenistan,Asia,Asia,Central Asia,,,,,,,,,2006,4,2000,28.1,,,,,,,,,.,,,2000,10.1,0.5,2008,43.6,47.1,40.4,14.3,13.9,14.5,2011,32.1,469.2,.,28,1999,Mild iodine deficiency,2008,11,12,10.1,2008,44.6,47,42.2,2008,35.1,33.8,35.8,,,,,2011,Currently off course
Tuvalu,Oceania,Oceania,Polynesia,2007,10,3.3,0.9,6.3,,,,2007,6,2007,10,,,,,,,,,2013,48.3,21.5,.,,,2008,,,,,,,2011,,,.,21.8,,.,2008,,,,2008,,,,2008,,,,2001,,Currently on course,,2011,
Uganda,Africa,Africa,Eastern Africa,2011,33.7,4.8,1.5,3.8,2337.3,332.9,263.6,2011,12,1988,47.6,1995,45.7,2000,44.8,2006,38.7,2011,33.7,2003,7.1,0.7,2011,10.2,1.3,2008,21.2,22.2,20.4,4.6,4.3,4.9,2011,26.7,2021.9,2001,27.9,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,6.7,6.8,6.5,2008,49,50.1,47.7,2008,22.2,20,24,2011,Currently off course,Currently on course,Currently on course,2011,Currently off course
Ukraine,Europe,Europe,Eastern Europe,,,,,,,,,2007,4,2000,22.9,2002,3.7,,,,,,,.,,,.,,,2008,51.8,49.8,53.2,20.1,15.5,23.6,2011,22.8,2619.4,.,23.8,1991-9,Mild iodine deficiency,2008,10.2,10.2,10.2,2008,48.3,52.2,44.6,2008,44.4,43.1,44.7,,,,,2011,Currently off course
United Arab Emirates,Asia,Asia,Western Asia,,,,,,,,,2009,6,,,,,,,,,,,2010,38.4,14.4,.,,,2008,72,71.3,73.9,33.7,30.2,43,2011,26.2,430.2,.,,1994,Mild iodine deficiency,2008,15.5,15.3,15.8,2008,38.9,41.3,32.5,2008,57.6,56.8,58.2,,,,,2011,Currently off course
United Kingdom,Europe,Europe,Northern Europe,,,,,,,,,2000,8,,,,,,,,,,,.,,,.,,,2008,61.5,65.6,57.5,24.9,24.4,25.2,2011,14.7,2167.4,.,,,.,2008,6.7,7.8,5.7,2008,37.5,42.2,32.8,2008,63.4,65.2,61.3,,,,,2011,Currently off course
United Republic of Tanzania,Africa,Africa,Eastern Africa,2011,34.8,6.6,,5.5,2942.4,558,465,2010,8,1999,48.3,2004,44.4,2009,43,2010,42.5,2011,34.8,.,,,2010,10.1,2.7,2008,23.9,22.1,25.8,5.4,4,6.8,2011,39.6,4156.8,.,24.2,1996,Optimal iodine nutrition,2008,8.4,8.3,8.5,2008,45,45.9,44,2008,23.7,21.6,25.5,2011,Currently off course,Currently off course,Currently off course,2011,Currently off course
United States of America,Americas,Northern America,Northern America,2012,2.1,0.5,0,6,434,103.3,1240.1,2002,8,1991,3.2,2001,3.3,2005,3.2,2009,2.7,2012,2.1,.,,,.,,,2008,69.4,72.5,66.3,31.8,30.2,33.2,2011,12,8917.7,.,,1988-94,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,10.8,12.6,9.1,2008,29.9,32.6,27.1,2008,53.8,52.9,54.2,2012,Currently off course,Currently on course,Currently on course,2011,Currently off course
Uruguay,Americas,Latin America and the Caribbean,South America,2011,10.7,1.3,0,7.2,26.2,3.2,17.6,2009,9,2002,14.7,2003,15.8,2004,13.9,2007,10.8,2011,10.7,2012,27.2,7,.,,,2008,57.3,59,55.4,23.6,20.7,26,2011,17.4,142.3,.,11.9,,.,2008,10.4,10.7,10,2008,41,46.3,36,2008,42.3,43.3,40.9,2011,Currently off course,Currently on course,Currently off course,2011,Currently off course
Uzbekistan,Asia,Asia,Central Asia,2006,19.6,4.5,1.7,12.8,574.1,131.8,375,2006,5,1996,39.5,2002,25.3,2006,19.6,,,,,.,,,1996,9.8,1.3,2008,48.1,48.9,47.2,17.3,14.5,19.8,2011,51.7,4071.4,2002,53.1,1998,Moderate iodine deficiency,2008,11.7,12.6,10.9,2008,39.1,41.5,36.5,2008,26.8,24.2,28.9,2006,Currently on course,Currently on course,Currently off course,2011,Currently off course
Vanuatu,Oceania,Oceania,Melanesia,2007,25.9,5.9,1.9,4.7,8.8,2,1.6,2007,10,1996,25.7,2007,25.9,,,,,,,2011,11.4,0.1,.,,,2008,65.4,62.4,68.5,29.8,22.9,36.8,2011,21.7,13.3,.,16.1,,.,2008,9.4,9.2,9.6,2008,47.2,48.9,45.6,2008,37.6,36.1,39.3,2007,,Currently off course,,2011,Currently on course
Venezuela,Americas,Latin America and the Caribbean,South America,2009,13.4,4.1,,6.4,395.2,120.9,188.8,2008,8,2005,16.2,2006,16.2,2007,15.6,2008,14.6,2009,13.4,.,,,.,,,2008,67.5,67.9,67,30.8,26.6,34.8,2011,22.5,1751.4,.,9.4,2000-01,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,11,11.1,10.9,2008,41,46.3,35.6,2008,38.4,33.4,43.1,2009,Currently off course,Currently on course,Currently off course,2011,Currently off course
Vietnam,Asia,Asia,South-Eastern Asia,2011,23.3,4.4,1.5,4.6,1679.1,317.1,331.5,2010-2011,5,2006,31.8,2007,32.2,2008,30.5,2010,29.3,2011,23.3,2013,6.1,0.6,.,,,2008,10.1,9.4,10.8,1.6,1.2,2,2011,14.1,3648.8,2001,12,1993,Moderate iodine deficiency,2008,7.7,7.5,7.9,2008,36.8,40,33.7,2008,36.1,33.9,38.1,2011,Currently on course,Currently on course,Currently off course,2011,Currently on course
